         647060 function calls (643877 primitive calls) in 1.693 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.693    1.693 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/extraction.py:229(_do_extraction)
        1    0.000    0.000    1.670    1.670 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/utilities/distribution.py:102(map_reduce)
        4    0.000    0.000    1.666    0.416 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tqdm/_tqdm.py:993(__iter__)
        3    0.000    0.000    1.665    0.555 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/utilities/distribution.py:19(_function_with_partly_reduce)
        6    0.000    0.000    1.665    0.277 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/utilities/distribution.py:37(<genexpr>)
        3    0.001    0.000    1.665    0.555 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/extraction.py:311(_do_extraction_on_chunk)
     2367    0.007    0.000    1.664    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/extraction.py:340(_f)
      564    0.003    0.000    1.304    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/extraction.py:348(<genexpr>)
      300    0.008    0.000    1.027    0.003 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1311(change_quantiles)
      428    0.794    0.002    0.794    0.002 {built-in method builtins.sum}
        6    0.001    0.000    0.222    0.037 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1134(number_cwt_peaks)
        6    0.000    0.000    0.221    0.037 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/_peak_finding.py:1193(find_peaks_cwt)
      306    0.003    0.000    0.215    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/reshape/tile.py:247(qcut)
        3    0.002    0.001    0.211    0.070 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1795(agg_linear_trend)
      144    0.001    0.000    0.161    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:153(_aggregate_on_chunks)
      144    0.013    0.000    0.160    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:167(<listcomp>)
        6    0.013    0.002    0.158    0.026 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/_peak_finding.py:1129(_filter_ridge_lines)
     6000    0.011    0.000    0.138    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/stats.py:1621(scoreatpercentile)
    34141    0.107    0.000    0.107    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      306    0.017    0.000    0.105    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:963(quantile)
     4081    0.059    0.000    0.100    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:91(_var)
      306    0.010    0.000    0.099    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/reshape/tile.py:319(_bins_to_cuts)
     6000    0.037    0.000    0.093    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/stats.py:1701(_compute_qth_percentile)
     3840    0.003    0.000    0.092    0.000 {method 'var' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.086    0.029 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:421(augmented_dickey_fuller)
        3    0.001    0.000    0.085    0.028 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/stattools.py:119(adfuller)
        3    0.000    0.000    0.077    0.026 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tsa/stattools.py:34(_autolag)
      308    0.002    0.000    0.065    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:278(unique)
       75    0.002    0.000    0.061    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/regression/linear_model.py:228(fit)
        6    0.024    0.004    0.060    0.010 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/signal/_peak_finding.py:1009(_identify_ridge_lines)
  932/312    0.005    0.000    0.057    0.000 <frozen importlib._bootstrap>:978(_find_and_load)
  932/312    0.002    0.000    0.050    0.000 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      147    0.004    0.000    0.049    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/_stats_mstats_common.py:15(linregress)
  628/314    0.000    0.000    0.048    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       75    0.004    0.000    0.046    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/tools/tools.py:333(pinv_extended)
  619/309    0.001    0.000    0.045    0.000 {built-in method builtins.__import__}
     6306    0.007    0.000    0.044    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:815(sort)
      315    0.002    0.000    0.044    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/algorithms.py:132(_reconstruct_data)
     4594    0.016    0.000    0.041    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:58(_mean)
      153    0.037    0.000    0.039    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/linalg/linalg.py:1468(svd)
41271/41199    0.035    0.000    0.037    0.000 {built-in method numpy.array}
     4071    0.002    0.000    0.035    0.000 {method 'mean' of 'numpy.ndarray' objects}
     2745    0.011    0.000    0.034    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:68(find)
      314    0.005    0.000    0.032    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     2424    0.003    0.000    0.029    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1702(is_extension_array_dtype)
     6330    0.029    0.000    0.029    0.000 {method 'sort' of 'numpy.ndarray' objects}
      693    0.000    0.000    0.028    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:25(isna)
     6150    0.003    0.000    0.028    0.000 {method 'sum' of 'numpy.ndarray' objects}
      693    0.002    0.000    0.028    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:105(_isna_new)
     1008    0.002    0.000    0.026    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1578(is_bool_dtype)
    71420    0.017    0.000    0.026    0.000 {built-in method builtins.isinstance}
     6150    0.002    0.000    0.025    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:34(_sum)
       24    0.000    0.000    0.024    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:1565(quantile)
      147    0.005    0.000    0.023    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:1802(sf)
      314    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      314    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       24    0.000    0.000    0.021    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/series.py:2004(quantile)
      675    0.004    0.000    0.020    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:183(_isna_ndarraylike)
     5208    0.005    0.000    0.020    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:54(_wrapfunc)
11079/11007    0.004    0.000    0.020    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:469(asarray)
      320    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       75    0.000    0.000    0.017    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/regression/linear_model.py:814(__init__)
       75    0.001    0.000    0.017    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/regression/linear_model.py:647(__init__)
       35    0.000    0.000    0.016    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:378(__init__)
     2114    0.001    0.000    0.015    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:942(argsort)
     4240    0.003    0.000    0.015    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:112(zeros_like)
       78    0.000    0.000    0.014    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/model.py:211(__init__)
     2367    0.004    0.000    0.014    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1981(pandas_dtype)
     1557    0.001    0.000    0.014    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1809(_get_dtype)
       75    0.000    0.000    0.014    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/regression/linear_model.py:178(__init__)
    11988    0.010    0.000    0.014    0.000 {method 'format' of 'str' objects}
    21120    0.006    0.000    0.014    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/numeric.py:541(asanyarray)
       78    0.001    0.000    0.014    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/model.py:60(__init__)
       24    0.000    0.000    0.013    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/frame.py:7697(quantile)
     8675    0.012    0.000    0.013    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/core/_methods.py:48(_count_reduce_items)
        6    0.000    0.000    0.013    0.002 /anaconda3/envs/mypython3/lib/python3.7/site-packages/tsfresh/feature_extraction/feature_calculators.py:109(_estimate_friedrich_coefficients)
44326/44167    0.008    0.000    0.013    0.000 {built-in method builtins.getattr}
       78    0.000    0.000    0.013    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/model.py:86(_handle_data)
       78    0.000    0.000    0.013    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/statsmodels/base/data.py:624(handle_data)
      147    0.004    0.000    0.012    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/numpy/lib/function_base.py:2245(cov)
       24    0.000    0.000    0.012    0.001 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/internals/managers.py:405(quantile)
     2981    0.003    0.000    0.012    0.000 /anaconda3/envs/mypython3/lib/python3.7/site-packages/pandas/core/dtypes/base.py:75(is_dtype)
